time;bulk
0;32.82079194
10;41.7199619
20;50.37420057
30;57.66770989
40;64.28085454
50;70.18641992
60;76.79956457
70;81.83426317
80;87.60375561
90;92.23023541
100;96.47571098
110;101.4015512
120;103.9052932
130;109.5659273
140;111.1988026
150;115.4714927
160;119.7169683
170;121.186556
180;124.6700231
190;126.4661859
200;129.4597904
210;131.2831678
220;135.2020683
230;136.0185059
240;138.2773166
250;139.9101919
260;141.6247108
270;143.0398694
280;145.0809634
290;148.1562117
300;148.1834263
310;151.3131038
320;151.2858892
330;153.1092666
340;153.4902708
350;156.6471629
360;157.2186692
370;157.7357464
380;158.552184
390;158.4433256
400;161.3008573
410;160.7837801
420;162.9881617
430;164.348891
440;163.6957409
450;165.3558307
460;166.6621309
470;167.4785685
480;167.8323581
490;168.3766499
500;169.6013063
510;170.4993877
520;171.3158253
530;171.4518982
540;170.9892502
550;174.0644986
560;172.5404817
570;174.6360049
580;174.6632195
590;174.9353654
600;174.7720778
610;177.7112532
620;176.5682406
630;177.4391074
640;176.7043135
650;177.9561845
660;178.4188325
670;178.7726221
680;178.6909784
690;179.3985576
700;179.371343
710;180.296639
720;181.6573683
730;182.1744455
740;180.5959995
750;181.3852225
760;181.9022996
770;183.5079603
780;183.9706082
790;181.6301538
800;182.6370935
810;183.6440332
820;183.589604
830;184.5421146
840;184.8142604
850;184.0250374
860;184.1338958
870;186.1477752
880;185.6851272
890;186.3110627
900;186.093346
910;186.9914274
920;188.0800109
930;186.4743503
940;187.1002858
950;187.1275003
960;187.0730712
970;188.1616546
980;189.0053068
990;188.5698735
1000;189.3863111
1010;188.5154443
1020;187.943938
1030;190.0122466
1040;188.4610151
1050;188.5698735
1060;190.2027487
1070;188.3793713
1080;189.3863111
1090;188.8964485
1100;189.3318819
1110;189.3318819
1120;189.4407402
1130;191.4546197
1140;189.6584569
1150;190.5565383
1160;190.6653967
1170;191.5362634
1180;191.5362634
1190;191.4546197
1200;190.311607
1210;190.3932508
1220;191.236903
1230;189.7128861
1240;191.9444822
1250;190.8558988
1260;191.1552592
1270;189.8217445
1280;191.10083
1290;192.352701
1300;192.1349844
1310;192.7881344
1320;191.236903
1330;192.7609199
1340;192.4615594
1350;192.488774
1360;191.8084093
1370;192.0533406
1380;191.9444822
1390;194.2849367
1400;193.5773575
1410;193.3868554
1420;193.3324262
1430;193.6317866
1440;193.0874949
1450;192.5159886
1460;192.4615594
1470;193.1691387
1480;193.9039325
1490;193.4957137
1500;193.0058511
1510;194.8564431
1520;194.8292285
1530;192.6248469
1540;191.9716968
1550;193.8767179
1560;193.9311471
1570;195.1558035
1580;193.1147095
1590;194.529868
1600;192.9786365
1610;192.7337053
1620;194.5026534
1630;194.6931555
1640;194.3665805
1650;195.1558035
1660;195.1285889
1670;194.8836576
1680;193.8222887
1690;194.3665805
1700;194.6659409
1710;194.6931555
1720;195.1013743
1730;194.6659409
1740;193.7134304
1750;195.8633828
1760;194.1760784
1770;195.0197306
1780;194.7475847
1790;195.2646619
1800;195.8089536
1810;195.1558035
1820;195.9994557
1830;195.319091
1840;195.9450265
1850;194.0944346
1860;194.9653014
1870;195.7545244
1880;196.5981766
1890;194.7747993
1900;194.1760784
1910;195.4279494
1920;194.5842972
1930;196.2988162
1940;194.529868
1950;195.9450265
1960;194.8836576
1970;195.8089536
1980;194.5026534
1990;194.9108722
2000;195.1830181
2010;194.8836576
2020;194.2849367
2030;195.781739
2040;195.5640223
2050;195.4279494
2060;195.4007348
2070;195.6184515
2080;195.2918764
2090;196.5437474
2100;197.03361
2110;195.1558035
2120;195.9722411
2130;196.2988162
2140;194.0944346
2150;197.5506872
2160;197.1424684
2170;195.4823786
2180;196.3532453
2190;194.4210097
2200;196.0266703
2210;197.5234726
2220;195.3463056
2230;195.3463056
2240;197.4690434
2250;195.6456661
2260;196.4893183
2270;197.169683
2280;195.6184515
2290;197.4146142
2300;196.3804599
2310;197.9044768
2320;197.5779018
2330;195.2646619
2340;195.8361682
2350;196.2171724
2360;194.8020139
2370;197.4690434
2380;195.8633828
2390;196.5165329
2400;197.3873996
2410;197.5234726
2420;197.5506872
2430;197.4690434
2440;196.6526058
2450;196.0538849
2460;196.3804599
2470;196.707035
2480;196.2716016
2490;197.4418288
2500;197.7684039
2510;196.4076745
2520;197.03361
2530;196.7614641
2540;196.244387
2550;197.6323309
2560;195.7273098
2570;198.0677643
2580;196.1627432
2590;197.6051163
2600;196.1899578
2610;197.6595455
2620;196.6798204
2630;196.8703225
2640;194.992516
2650;196.7886787
2660;196.8431079
2670;197.4690434
2680;195.8089536
2690;195.9994557
2700;196.1083141
2710;197.6051163
2720;195.319091
2730;197.4418288
2740;195.4823786
2750;197.1152538
2760;196.6526058
2770;196.8975371
2780;196.7886787
2790;198.6664852
2800;195.9178119
2810;195.9994557
2820;196.6798204
2830;194.9108722
2840;197.3873996
2850;196.4621037
2860;198.1221935
2870;199.1563478
2880;198.1494081
2890;197.7684039
2900;195.9994557
2910;196.7342496
2920;196.8431079
2930;197.3057559
2940;198.2582664
2950;196.2988162
2960;197.0063954
2970;196.8431079
2980;197.4690434
2990;197.822833
3000;196.570962
3010;198.7753436
3020;197.6051163
3030;196.4893183
3040;195.9994557
3050;198.9658457
3060;198.5576269
3070;197.2241121
3080;197.4146142
3090;196.4348891
3100;197.9861206
3110;196.7886787
3120;196.6253912
3130;196.3804599
3140;197.822833
3150;195.9178119
3160;196.0810995
3170;198.0949789
3180;196.2988162
3190;196.8975371
3200;197.5234726
3210;197.3057559
3220;197.9861206
3230;197.3057559
3240;199.1291332
3250;197.4418288
3260;197.1152538
3270;196.6798204
3280;197.2241121
3290;197.3057559
3300;198.6664852
3310;198.3943394
3320;197.8772622
3330;198.6936998
3340;196.8703225
3350;197.9861206
3360;197.5779018
3370;197.03361
3380;198.9114165
3390;197.1152538
3400;197.958906
3410;197.2513267
3420;196.8703225
3430;197.4146142
3440;198.9930603
3450;197.5506872
3460;197.3057559
3470;197.7411893
3480;197.2241121
3490;197.7684039
3500;197.3057559
